"symbol","date","price"
"KIA  SPORTAGE","2017-01",214
"KIA  SPORTAGE","2017-02",239
"KIA  SPORTAGE","2017-03",436
"KIA  SPORTAGE","2017-04",345
"KIA  SPORTAGE","2017-05",321
"KIA  SPORTAGE","2017-06",342
"KIA  SPORTAGE","2017-07",372
"KIA  SPORTAGE","2017-08",281
"KIA  SPORTAGE","2017-09",311
"KIA  SPORTAGE","2017-10",220
"KIA  SPORTAGE","2017-11",358
"KIA  SPORTAGE","2017-12",368
"KIA  SPORTAGE","2018-01",195
"KIA  SPORTAGE","2018-02",92
"NISSAN  LEAF","2017-01",180
"NISSAN  LEAF","2017-02",179
"NISSAN  LEAF","2017-03",235
"NISSAN  LEAF","2017-04",196
"NISSAN  LEAF","2017-05",201
"NISSAN  LEAF","2017-06",250
"NISSAN  LEAF","2017-07",217
"NISSAN  LEAF","2017-08",184
"NISSAN  LEAF","2017-09",190
"NISSAN  LEAF","2017-10",198
"NISSAN  LEAF","2017-11",190
"NISSAN  LEAF","2017-12",174
"NISSAN  LEAF","2018-01",124
"NISSAN  LEAF","2018-02",222
"RENAULT  DUSTER","2017-01",111
"RENAULT  DUSTER","2017-02",170
"RENAULT  DUSTER","2017-03",213
"RENAULT  DUSTER","2017-04",255
"RENAULT  DUSTER","2017-05",208
"RENAULT  DUSTER","2017-06",167
"RENAULT  DUSTER","2017-07",219
"RENAULT  DUSTER","2017-08",256
"RENAULT  DUSTER","2017-09",248
"RENAULT  DUSTER","2017-10",221
"RENAULT  DUSTER","2017-11",287
"RENAULT  DUSTER","2017-12",390
"RENAULT  DUSTER","2018-01",230
"RENAULT  DUSTER","2018-02",187
"RENAULT  LOGAN","2017-01",159
"RENAULT  LOGAN","2017-02",209
"RENAULT  LOGAN","2017-03",243
"RENAULT  LOGAN","2017-04",236
"RENAULT  LOGAN","2017-05",259
"RENAULT  LOGAN","2017-06",349
"RENAULT  LOGAN","2017-07",211
"RENAULT  LOGAN","2017-08",211
"RENAULT  LOGAN","2017-09",254
"RENAULT  LOGAN","2017-10",215
"RENAULT  LOGAN","2017-11",197
"RENAULT  LOGAN","2017-12",252
"RENAULT  LOGAN","2018-01",140
"RENAULT  LOGAN","2018-02",141
"RENAULT  MEGANE","2017-01",261
"RENAULT  MEGANE","2017-02",447
"RENAULT  MEGANE","2017-03",587
"RENAULT  MEGANE","2017-04",588
"RENAULT  MEGANE","2017-05",564
"RENAULT  MEGANE","2017-06",558
"RENAULT  MEGANE","2017-07",610
"RENAULT  MEGANE","2017-08",604
"RENAULT  MEGANE","2017-09",648
"RENAULT  MEGANE","2017-10",596
"RENAULT  MEGANE","2017-11",696
"RENAULT  MEGANE","2017-12",724
