"oblast_name","brand","date","size","sum_size"
"Вінницька область","BMW  X3","2017-01",7,62
"Вінницька область","BMW  X3","2017-02",1,62
"Вінницька область","BMW  X3","2017-03",6,62
"Вінницька область","BMW  X3","2017-04",4,62
"Вінницька область","BMW  X3","2017-05",3,62
"Вінницька область","BMW  X3","2017-06",2,62
"Вінницька область","BMW  X3","2017-07",3,62
"Вінницька область","BMW  X3","2017-08",5,62
"Вінницька область","BMW  X3","2017-09",3,62
"Вінницька область","BMW  X3","2017-10",8,62
"Вінницька область","BMW  X3","2017-11",10,62
"Вінницька область","BMW  X3","2017-12",7,62
"Вінницька область","BMW  X3","2018-01",3,62
"Вінницька область","CITROEN  BERLINGO","2017-01",2,65
"Вінницька область","CITROEN  BERLINGO","2017-02",2,65
"Вінницька область","CITROEN  BERLINGO","2017-03",7,65
"Вінницька область","CITROEN  BERLINGO","2017-04",6,65
"Вінницька область","CITROEN  BERLINGO","2017-05",4,65
"Вінницька область","CITROEN  BERLINGO","2017-06",7,65
"Вінницька область","CITROEN  BERLINGO","2017-07",4,65
"Вінницька область","CITROEN  BERLINGO","2017-08",8,65
"Вінницька область","CITROEN  BERLINGO","2017-09",5,65
"Вінницька область","CITROEN  BERLINGO","2017-10",5,65
"Вінницька область","CITROEN  BERLINGO","2017-11",4,65
"Вінницька область","CITROEN  BERLINGO","2017-12",5,65
"Вінницька область","CITROEN  BERLINGO","2018-01",5,65
"Вінницька область","CITROEN  BERLINGO","2018-02",1,65
"Вінницька область","DAF  FT XF 105.460","2017-01",2,51
"Вінницька область","DAF  FT XF 105.460","2017-02",8,51
"Вінницька область","DAF  FT XF 105.460","2017-03",8,51
"Вінницька область","DAF  FT XF 105.460","2017-04",3,51
"Вінницька область","DAF  FT XF 105.460","2017-05",6,51
"Вінницька область","DAF  FT XF 105.460","2017-06",1,51
"Вінницька область","DAF  FT XF 105.460","2017-07",6,51
"Вінницька область","DAF  FT XF 105.460","2017-08",1,51
"Вінницька область","DAF  FT XF 105.460","2017-09",2,51
"Вінницька область","DAF  FT XF 105.460","2017-10",2,51
"Вінницька область","DAF  FT XF 105.460","2017-12",2,51
"Вінницька область","DAF  FT XF 105.460","2018-01",6,51
"Вінницька область","DAF  FT XF 105.460","2018-02",4,51
"Вінницька область","DAF  XF 105.460","2017-01",11,122
"Вінницька область","DAF  XF 105.460","2017-02",8,122
"Вінницька область","DAF  XF 105.460","2017-03",10,122
"Вінницька область","DAF  XF 105.460","2017-04",13,122
"Вінницька область","DAF  XF 105.460","2017-05",14,122
"Вінницька область","DAF  XF 105.460","2017-06",8,122
"Вінницька область","DAF  XF 105.460","2017-07",7,122
"Вінницька область","DAF  XF 105.460","2017-08",8,122
"Вінницька область","DAF  XF 105.460","2017-09",4,122
"Вінницька область","DAF  XF 105.460","2017-10",7,122
"Вінницька область","DAF  XF 105.460","2017-11",3,122
"Вінницька область","DAF  XF 105.460","2017-12",5,122
"Вінницька область","DAF  XF 105.460","2018-01",7,122
"Вінницька область","DAF  XF 105.460","2018-02",16,122
"Вінницька область","FORD  FOCUS","2017-01",3,62
"Вінницька область","FORD  FOCUS","2017-02",4,62
"Вінницька область","FORD  FOCUS","2017-03",2,62
"Вінницька область","FORD  FOCUS","2017-04",1,62
